	code	name	market_cap	weight
791		交运股份		0.083
792		航天通信		0.156
793		百川能源		0.103
794		珠江实业		0.077
795		金龙汽车		0.074
796		东百集团		0.068
797		舍得酒业		0.219
798		彩虹股份		0.086
799		光明地产		0.145
800		盛屯矿业		0.191
801		文投控股		0.092
802		祁连山		0.136
803		佳都科技		0.349
804		实达集团		0.07
805		山西焦化		0.143
806		一汽富维		0.141
807		闻泰科技		0.29
808		浪潮软件		0.223
809		红阳能源		0.054
810		通策医疗		0.342
811		中国海防		0.135
812		广誉远		0.184
813		辅仁药业		0.046
814		鲁信创投		0.171
815		鲁抗医药		0.118
816		浙大网新		0.222
817		宁波海运		0.082
818		天津磁卡		0.099
819		新奥股份		0.183
820		华北制药		0.104
821		杭州解百		0.044
822		中路股份		0.045
823		茂业商业		0.037
824		宝信软件		0.215
825		同济科技		0.125
826		海欣股份		0.124
827		航天长峰		0.093
828		中天能源		0.107
829		梅雁吉祥		0.196
830		梅花生物		0.285
831		洛阳玻璃		0.041
832		湖南盐业		0.043
833		爱柯迪		0.04
834		岳阳林纸		0.086
835		博汇纸业		0.097
836		淮北矿业		0.056
837		科达股份		0.133
838		航民股份		0.101
839		赤峰黄金		0.11
840		四创电子		0.126
841		文山电力		0.069
842		开滦股份		0.107
843		宝泰隆		0.188
844		陕西黑猫		0.039
845		一拖股份		0.031
846		赛轮轮胎		0.165
847		西部黄金		0.092
848		昊华能源		0.085
849		华鼎股份		0.095
850		三江购物		0.073
851		四方股份		0.08
852		博威合金		0.059
853		深圳燃气		0.089
854		三角轮胎		0.081
855		林洋能源		0.156
856		绿色动力		0.051
857		利群股份		0.085
858		陕鼓动力		0.11
859		中原证券		0.17
860		怡球资源		0.093
861		通用股份		0.053
862		九牧王		0.062
863		北辰实业		0.139
864		上海电影		0.042
865		鹿港文化		0.058
866		嘉泽新能		0.036
867		旗滨集团		0.182
868		平煤股份		0.126
869		明泰铝业		0.097
870		风范股份		0.116
871		宁波建工		0.068
872		星宇股份		0.209
873		中国科传		0.07
874		海天精工		0.025
875		江河集团		0.105
876		亚星锚链		0.101
877		南方传媒		0.043
878		京运通		0.105
879		新集能源		0.135
880		吉视传媒		0.158
881		中国出版		0.08
882		苏垦农发		0.079
883		龙宇燃油		0.063
884		喜临门		0.054
885		万盛股份		0.04
886		亚普股份		0.027
887		石大胜华		0.088
888		泛微网络		0.107
889		广州酒家		0.123
890		台华新材		0.033
891		永吉股份		0.036
892		禾望电气		0.06
893		大丰实业		0.03
894		新经典		0.08
895		森特股份		0.033
896		横店影视		0.034
897		芯能科技		0.039
898		润达医疗		0.106
899		康尼机电		0.065
900		金能科技		0.093
901		共进股份		0.095
902		中材节能		0.056
903		华贸物流		0.118
904		荣晟环保		0.026
905		金牌厨柜		0.04
906		日月股份		0.055
907		电魂网络		0.034
908		银都股份		0.021
909		杭叉集团		0.071
910		苏盐井神		0.051
911		得邦照明		0.048
912		旭升股份		0.063
913		应流股份		0.072
914		梦百合		0.053
915		苏农银行		0.155
916		杰克股份		0.095
917		浙江鼎力		0.155
918		四方科技		0.029
919		安井食品		0.088
920		文灿股份		0.04
921		设计总院		0.086
922		华达科技		0.033
923		东珠生态		0.08
924		傲农生物		0.045
925		辰欣药业		0.061
926		柳药股份		0.12
927		惠达卫浴		0.042
928		基蛋生物		0.07
929		新天然气		0.081
930		吉翔股份		0.097
931		鼎信通讯		0.036
932		九洲药业		0.095
933		勘设股份		0.076
934		风语筑		0.04
935		思维列控		0.064
936		绝味食品		0.203
937		掌阅科技		0.023
938		贵人鸟		0.038
939		起步股份		0.037
940		荣泰健康		0.043
941		地素时尚		0.055
942		高能环境		0.103
943		东尼电子		0.058
944		伯特利		0.026
945		广信股份		0.074
946		博天环境		0.055
947		珀莱雅		0.105
948		禾丰牧业		0.067
949		索通发展		0.063
950		杭电股份		0.058
951		中曼石油		0.019
952		科森科技		0.042
953		南威软件		0.091
954		艾迪精密		0.078
955		畅联股份		0.036
956		苏州科达		0.156
957		亿嘉和		0.05
958		卫信康		0.021
959		火炬电子		0.14
960		今创集团		0.026
961		龙马环卫		0.067
962		江苏新能		0.049
963		纽威股份		0.07
964		健友股份		0.152
965		家家悦		0.116
966		香飘飘		0.035
967		海利生物		0.105
968		博迈科		0.034
969		鸣志电器		0.057
970		岱美股份		0.056
971		仙鹤股份		0.033
972		秦安股份		0.023
973		沃格光电		0.035
974		来伊份		0.04
975		威龙股份		0.033
976		志邦家居		0.047
977		瑞斯康达		0.054
978		歌力思		0.059
979		海峡环保		0.036
980		安正时尚		0.039
981		正平股份		0.052
982		好太太		0.022
983		白云电器		0.029
984		鼎胜新材		0.043
985		数据港		0.086
986		金域医学		0.106
987		寿仙谷		0.061
988		好莱客		0.068
989		莱绅通灵		0.039
990		金徽酒		0.044
991		世运电路		0.057
992		益丰药房		0.22
993		百利科技		0.06
994		金诚信		0.065
995		吉华集团		0.08
996		艾华集团		0.082
997		中新科技		0.034
998		继峰股份		0.05
999		读者传媒		0.036
